"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 21 20:00:02 CET 2021","Thu Jan 21 20:00:12 CET 2021","9513","","Content submitted count","","","","Content submitted col 5 calculations",""
"passed","Thu Jan 21 20:23:17 CET 2021","Thu Jan 21 20:23:30 CET 2021","12443","","Pitching no activity count","","","","Pitching no activity calculations",""
"passed","Thu Jan 21 20:25:13 CET 2021","Thu Jan 21 20:25:20 CET 2021","7174","","Pitching rejected count","","","","Pitching rejected col 4 calculations",""
"passed","Thu Jan 21 19:56:56 CET 2021","Thu Jan 21 19:57:04 CET 2021","7370","","Completion (paying third party) review count","","","","Completion paying third party col 2 calculations",""
"passed","Thu Jan 21 19:54:08 CET 2021","Thu Jan 21 19:54:17 CET 2021","9254","","All live details count","","","","All live details col 1 calculations",""
"passed","Thu Jan 21 19:57:04 CET 2021","Thu Jan 21 19:57:11 CET 2021","7739","","Completion (paying third party) review count","","","","Completion paying third party col 3 calculations",""
"passed","Thu Jan 21 20:12:27 CET 2021","Thu Jan 21 20:12:35 CET 2021","7459","","Ordered Content count","","","","Ordered content col 3 calculations",""
"passed","Thu Jan 21 19:58:09 CET 2021","Thu Jan 21 19:58:18 CET 2021","8757","","Content formatted count","","","","Content formatted col 1 calculations",""
"passed","Thu Jan 21 20:07:14 CET 2021","Thu Jan 21 20:07:20 CET 2021","6736","","Live url review count","","","","Live url review table count good",""
"passed","Thu Jan 21 20:18:51 CET 2021","Thu Jan 21 20:18:58 CET 2021","6932","","Pending live url review count","","","","Pending live url review col 6 calculations",""
"passed","Thu Jan 21 20:21:02 CET 2021","Thu Jan 21 20:21:11 CET 2021","8541","","Pending payment writers review count","","","","Pending payment writers col 2 calculations",""
"passed","Thu Jan 21 19:56:47 CET 2021","Thu Jan 21 19:56:56 CET 2021","9421","","Completion (paying third party) review count","","","","Completion paying third party col 1 calculations",""
"passed","Thu Jan 21 19:55:57 CET 2021","Thu Jan 21 19:56:04 CET 2021","6940","","Approving Title count","","","","Approving title col 5 calculations",""
"passed","Thu Jan 21 20:05:32 CET 2021","Thu Jan 21 20:05:39 CET 2021","6862","","Format content count","","","","Format content col 5 calculations",""
"passed","Thu Jan 21 20:23:53 CET 2021","Thu Jan 21 20:24:00 CET 2021","7118","","Pitching no activity count","","","","Pitching no activity col 4 calculations",""
"passed","Thu Jan 21 19:55:35 CET 2021","Thu Jan 21 19:55:43 CET 2021","8163","","Approving Title count","","","","Approving title col 2 calculations",""
"passed","Thu Jan 21 20:17:26 CET 2021","Thu Jan 21 20:17:32 CET 2021","6723","","Pending approvals count","","","","Pending approvals col 5 calculations",""
"passed","Thu Jan 21 19:53:35 CET 2021","Thu Jan 21 19:53:40 CET 2021","5081","","All Content count","","","","All Content table count good",""
"passed","Thu Jan 21 20:22:22 CET 2021","Thu Jan 21 20:22:30 CET 2021","7400","","Pitched Submitted count","","","","Pitched submitted col 2 calculations",""
"passed","Thu Jan 21 20:07:37 CET 2021","Thu Jan 21 20:08:30 CET 2021","53158","","New orders count","","","","New orders calculations",""
"passed","Thu Jan 21 20:13:38 CET 2021","Thu Jan 21 20:13:45 CET 2021","7142","","Paid bloggers  count","","","","Paid bloggers col 2 calculations",""
"passed","Thu Jan 21 19:54:33 CET 2021","Thu Jan 21 19:54:41 CET 2021","8705","","All live details count","","","","All live details col 4 calculations",""
"passed","Thu Jan 21 19:54:41 CET 2021","Thu Jan 21 19:54:49 CET 2021","7078","","All live details count","","","","All live details col 5 calculations",""
"passed","Thu Jan 21 20:12:43 CET 2021","Thu Jan 21 20:12:50 CET 2021","7011","","Ordered Content count","","","","Ordered content col 5 calculations",""
"passed","Thu Jan 21 20:27:12 CET 2021","Thu Jan 21 20:27:23 CET 2021","10653","","View Invoice count","","","","View Invoice calculations",""
"passed","Thu Jan 21 20:21:11 CET 2021","Thu Jan 21 20:21:18 CET 2021","7688","","Pending payment writers review count","","","","Pending payment writers col 3 calculations",""
"passed","Thu Jan 21 19:55:15 CET 2021","Thu Jan 21 19:55:28 CET 2021","12322","","Approving Title count","","","","Approving Title calculations",""
"passed","Thu Jan 21 20:01:35 CET 2021","Thu Jan 21 20:01:42 CET 2021","7156","","Content submitted no activity count","","","","Content submitted no activity col 6 calculations",""
"passed","Thu Jan 21 20:24:50 CET 2021","Thu Jan 21 20:24:58 CET 2021","8058","","Pitching rejected count","","","","Pitching rejected col 1 calculations",""
"passed","Thu Jan 21 20:01:42 CET 2021","Thu Jan 21 20:01:48 CET 2021","5616","","Content submitted no activity count","","","","Content submitted no activity table count good",""
"passed","Thu Jan 21 20:07:06 CET 2021","Thu Jan 21 20:07:14 CET 2021","7340","","Live url review count","","","","Live url col 6 calculations",""
"passed","Thu Jan 21 20:27:42 CET 2021","Thu Jan 21 20:27:50 CET 2021","7347","","View Invoice count","","","","View invoice col 3 calculations",""
"passed","Thu Jan 21 20:27:23 CET 2021","Thu Jan 21 20:27:34 CET 2021","11203","","View Invoice count","","","","View invoice col 1 calculations",""
"passed","Thu Jan 21 19:53:21 CET 2021","Thu Jan 21 19:53:28 CET 2021","7767","","All Content count","","","","All content col 5 calculations",""
"passed","Thu Jan 21 19:58:49 CET 2021","Thu Jan 21 19:58:57 CET 2021","8364","","Content formatted count","","","","Content formatted col 6 calculations",""
"passed","Thu Jan 21 20:21:18 CET 2021","Thu Jan 21 20:21:27 CET 2021","8242","","Pending payment writers review count","","","","Pending payment writers col 4 calculations",""
"passed","Thu Jan 21 19:59:39 CET 2021","Thu Jan 21 19:59:47 CET 2021","8213","","Content submitted count","","","","Content submitted col 2 calculations",""
"passed","Thu Jan 21 20:01:19 CET 2021","Thu Jan 21 20:01:27 CET 2021","7841","","Content submitted no activity count","","","","Content submitted no activity col 4 calculations",""
"passed","Thu Jan 21 20:20:10 CET 2021","Thu Jan 21 20:20:18 CET 2021","7499","","Pending payment bloggers review count","","","","Pending payment bloggers col 6 calculations",""
"passed","Thu Jan 21 20:00:55 CET 2021","Thu Jan 21 20:01:04 CET 2021","8931","","Content submitted no activity count","","","","Content submitted no activity col 1 calculations",""
"passed","Thu Jan 21 20:21:35 CET 2021","Thu Jan 21 20:21:43 CET 2021","7801","","Pending payment writers review count","","","","Pending payment writers col 6 calculations",""
"passed","Thu Jan 21 19:54:17 CET 2021","Thu Jan 21 19:54:25 CET 2021","7965","","All live details count","","","","All live details col 2 calculations",""
"passed","Thu Jan 21 20:26:54 CET 2021","Thu Jan 21 20:26:59 CET 2021","5114","","Review Content count","","","","Review Content table count good",""
"passed","Thu Jan 21 20:11:14 CET 2021","Thu Jan 21 20:11:22 CET 2021","7414","","Order Content count","","","","Order content col 4 calculations",""
"passed","Thu Jan 21 20:00:43 CET 2021","Thu Jan 21 20:00:55 CET 2021","12196","","Content submitted no activity count","","","","Content submitted no activity calculations",""
"passed","Thu Jan 21 19:55:28 CET 2021","Thu Jan 21 19:55:35 CET 2021","7204","","Approving Title count","","","","Approving title col 1 calculations",""
"passed","Thu Jan 21 20:16:32 CET 2021","Thu Jan 21 20:16:42 CET 2021","9954","","Pending approvals count","","","","Pending approvals col 2 calculations",""
"passed","Thu Jan 21 20:18:04 CET 2021","Thu Jan 21 20:18:16 CET 2021","12094","","Pending live url review count","","","","Pending live url review calculations",""
"passed","Thu Jan 21 20:02:03 CET 2021","Thu Jan 21 20:02:15 CET 2021","12297","","Content submitted rejected count","","","","Content submitted rejected calculations",""
"passed","Thu Jan 21 19:57:34 CET 2021","Thu Jan 21 19:57:40 CET 2021","5523","","Completion (paying third party) review count","","","","Completion (paying third party) review table count good",""
"passed","Thu Jan 21 20:24:58 CET 2021","Thu Jan 21 20:25:06 CET 2021","8159","","Pitching rejected count","","","","Pitching rejected col 2 calculations",""
"passed","Thu Jan 21 20:25:28 CET 2021","Thu Jan 21 20:25:35 CET 2021","7476","","Pitching rejected count","","","","Pitching rejected col 6 calculations",""
